timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-05-12 | 12:22:39,32.1,59.2,0.37841796875,0.054,0.0,-59
2025-05-12 | 12:22:41,32.1,59.4,0.13037109375,0.054,0.0,-58
2025-05-12 | 12:22:45,32.1,59.4,0.42236328125,0.054,0.0,-59
2025-05-12 | 12:22:46,32.1,59.3,0.305419921875,0.054,0.0,-58
2025-05-12 | 12:22:49,32.1,59.5,0.168701171875,0.054,0.0,-59
2025-05-12 | 12:22:50,32.1,59.5,0.13134765625,0.054,0.0,-58
2025-05-12 | 12:22:52,32.1,59.5,0.299072265625,0.054,0.0,-58
2025-05-12 | 12:22:54,32.1,59.5,0.377685546875,0.054,0.0,-57
2025-05-12 | 12:22:56,32.1,59.5,0.189697265625,0.054,0.0,-59
2025-05-12 | 12:22:58,32.1,59.5,0.468017578125,0.054,0.0,-58
2025-05-12 | 12:23:00,32.1,59.4,0.29638671875,0.054,0.0,-57
2025-05-12 | 12:23:03,32.1,59.5,0.272705078125,0.054,0.0,-58
2025-05-12 | 12:23:05,32.1,59.5,0.29833984375,0.054,0.0,-59
2025-05-12 | 12:23:07,32.1,59.5,0.274169921875,0.054,0.0,-58
2025-05-12 | 12:23:09,32.1,59.6,0.276611328125,0.054,0.0,-58
2025-05-12 | 12:23:11,32.1,59.5,0.428955078125,0.054,0.0,-59
2025-05-12 | 12:23:15,32.1,59.5,0.359619140625,0.054,0.0,-59
2025-05-12 | 12:23:17,32.1,59.5,0.353759765625,0.054,0.0,-58
2025-05-12 | 12:23:19,32.1,59.6,0.355712890625,0.054,0.0,-59
2025-05-12 | 12:23:24,32.1,59.6,0.27734375,0.054,0.0,-58
2025-05-12 | 12:23:27,32.1,59.6,0.43359375,0.054,0.0,-58
2025-05-12 | 12:23:29,32.1,59.5,0.30712890625,0.054,0.0,-57
2025-05-12 | 12:23:31,32.1,59.6,0.25537109375,0.054,0.0,-58
2025-05-12 | 12:23:33,32.1,59.6,0.269775390625,0.054,0.0,-59
2025-05-12 | 12:23:35,32.1,59.7,0.2509765625,0.054,0.0,-59
2025-05-12 | 12:23:38,32.0,59.6,0.294921875,0.054,0.0,-58
2025-05-12 | 12:23:40,32.1,59.4,0.229736328125,0.054,0.0,-59
2025-05-12 | 12:23:42,32.1,59.5,0.28076171875,0.054,0.0,-58
2025-05-12 | 12:23:44,32.1,59.6,0.22998046875,0.054,0.0,-57
2025-05-12 | 12:23:46,32.1,59.6,0.262939453125,0.054,0.0,-56
2025-05-12 | 12:23:48,32.1,59.5,0.340576171875,0.054,0.0,-56
2025-05-12 | 12:23:50,32.1,59.6,0.213623046875,0.054,0.0,-59
2025-05-12 | 12:23:52,32.1,59.6,0.1572265625,0.054,0.0,-58
2025-05-12 | 12:23:56,32.1,59.5,0.177490234375,0.054,0.0,-58
2025-05-12 | 12:23:58,32.1,59.5,0.34716796875,0.054,0.0,-58
2025-05-12 | 12:24:00,32.1,59.5,0.31103515625,0.054,0.0,-58
2025-05-12 | 12:24:04,32.0,59.5,0.502685546875,0.054,0.0,-59
2025-05-12 | 12:24:06,32.1,59.5,0.396484375,0.054,0.0,-58
2025-05-12 | 12:24:08,32.1,59.5,0.369384765625,0.054,0.0,-57
2025-05-12 | 12:24:10,32.0,59.5,0.331787109375,0.054,0.0,-57
2025-05-12 | 12:24:12,32.1,59.5,0.42822265625,0.054,0.0,-57
2025-05-12 | 12:24:14,32.1,59.6,0.37548828125,0.054,0.0,-57
2025-05-12 | 12:24:17,32.1,59.7,0.2373046875,0.054,0.0,-57
2025-05-12 | 12:24:19,32.1,59.6,0.3076171875,0.054,0.0,-57
2025-05-12 | 12:24:22,32.1,59.6,0.223388671875,0.054,0.0,-57
2025-05-12 | 12:24:23,32.1,59.7,0.192626953125,0.054,0.0,-59
2025-05-12 | 12:24:26,32.1,59.5,0.31591796875,0.054,0.0,-58
2025-05-12 | 12:24:30,32.1,59.5,0.265625,0.054,0.0,-57
2025-05-12 | 12:24:32,32.1,59.5,0.243408203125,0.054,0.0,-57
2025-05-12 | 12:24:34,32.1,59.5,0.237548828125,0.054,0.0,-57
2025-05-12 | 12:24:37,32.1,59.7,0.320556640625,0.054,0.0,-57
2025-05-12 | 12:24:41,32.1,59.7,0.381591796875,0.054,0.0,-58
2025-05-12 | 12:24:42,32.1,59.7,0.239501953125,0.054,0.0,-58
2025-05-12 | 12:24:44,32.1,59.7,0.265380859375,0.054,0.0,-56
2025-05-12 | 12:24:46,32.1,59.5,0.261474609375,0.054,0.0,-58
2025-05-12 | 12:24:48,32.1,59.6,0.235107421875,0.054,0.0,-58
2025-05-12 | 12:24:50,32.1,59.6,0.2373046875,0.054,0.0,-57
2025-05-12 | 12:24:53,32.1,59.6,0.320068359375,0.054,0.0,-58
2025-05-12 | 12:24:55,32.1,59.5,0.255615234375,0.054,0.0,-57
2025-05-12 | 12:24:57,32.1,59.6,0.2646484375,0.054,0.0,-57
2025-05-12 | 12:24:59,32.1,59.7,0.256591796875,0.054,0.0,-57
2025-05-12 | 12:25:01,32.0,59.6,0.229736328125,0.054,0.0,-56
2025-05-12 | 12:25:04,32.1,59.6,0.1591796875,0.054,0.0,-57
2025-05-12 | 12:25:06,32.0,59.7,0.169189453125,0.054,0.0,-58
2025-05-12 | 12:25:08,32.0,59.7,0.37744140625,0.054,0.0,-58
2025-05-12 | 12:25:10,32.0,59.7,0.343017578125,0.054,0.0,-58
2025-05-12 | 12:25:12,32.1,59.7,0.325439453125,0.054,0.0,-58
2025-05-12 | 12:25:14,32.1,59.7,0.31591796875,0.054,0.0,-57
2025-05-12 | 12:25:16,32.0,59.6,0.275634765625,0.054,0.0,-58
2025-05-12 | 12:25:18,32.1,59.7,0.2646484375,0.054,0.0,-57
2025-05-12 | 12:25:20,32.1,59.6,0.204833984375,0.054,0.0,-58
2025-05-12 | 12:25:22,32.1,59.6,0.458740234375,0.054,0.0,-57
2025-05-12 | 12:25:25,32.1,59.7,0.122314453125,0.054,0.0,-57
2025-05-12 | 12:25:27,32.1,59.7,0.127685546875,0.054,0.0,-58
